site,checkpoint,km,refueling,cutOffTime
Vielle Aure,Départ,0.0,Départ,2021-8-19 7:00
Restaurant Merlans,CP,15.3,Petit Rav,2021-8-19 10:45
Fabian,CP,25.6,Petit Rav,2021-8-19 12:45
Tunnel de Bielsa,CP,37.9,Petit Rav,2021-8-19 17:15
Granges de Moudang,CP,47.4,Petit Rav,2021-8-19 21:00
Vielle Aure,Arrivée,64.3,Petit Rav,2021-8-20 1:00
