site,checkpoint,km,refueling,cutOffTime
Saint Lary,Départ,0.0,Départ,2021-8-20 8:00
Restaurant Merlans,CP,14.8,Petit Rav,2021-8-20 11:45
Col de Bastanet,CP,20.3,,
Restaurant Merlans,CP,28.9,Petit Rav,2021-8-20 16:45
Vielle Aure,Arrivée,42.6,Petit Rav,2021-8-20 20:00
