site,checkpoint,km,refueling,cutOffTime
Piau,Départ,0.0,Départ,2021-8-21 6:30
Piau,CP,8.7,Petit Rav,2021-8-21 8:30
Tunnel de Bielsa,CP,20.7,Petit Rav,2021-8-21 11:45
Passerelle,CP,30.8,Petit Rav,2021-8-21 15:15
Piau,Arrivée,43.1,Petit Rav,2021-8-21 19:00
